,GARHSA,ZINTUT,GARITS-2,BUTTSA-3,KAIPAR,PIKHBT,GRETIO-4,NATHST,PEAHOP-2,RUSFS-3,MCIHAT-2,INUJAT,ELLTCO-4,AMIAHA,ROTWWH,PAPPOT-2,STRTEC-2,LYBCHS,FRASAT-13,HATHSA,NOOTSA-2,PURHPO-3,MATTHB,GRETSA-6,AINPAR,NOOAPH,RICCOT-11,BIRHOS,MCISGA,BRIPTT,COVROT-2,AINTPO,EPIHPO,FLAHPO-4,SCHIHA-3,SCAWWH-2,STRTEC,ROTTEC,WAXHQC,PEAHRO,COVROP,ASHHTO,DUSDHD,AINSAP-2,WINPKP,ROTHAJ,PITTEC,STOPAR,TOMCIH,FALSAT-3,HENDHO,GILTNT,CLACAH,KAIPOP-2,YANHVO,LOERPJ,LEVBHW-2,PATHBS,MELHAO,GAROMI-3,WARCSA-3,PENTSI,LOECER,WINAIR,PITSRA-2,PERHYL,COTMCA-2,ROCICH,AINRHA,ROCHAT-4,IRATIH,PENHOP-2,INUHLT,LESRCO,ROMFYY-2,SCHROH-5,KAIOHA-2,SPELTT,PURTMS,HUMHIS,BUCPAR,MURWIT,PENTIH,SIRTCO,ROBHOP,THITEM,STRAMH-2,CARTIJ,MENPIT,PENHTO,1173780,SWAPIA-2,DAVHOP,PENTSO-2,FLAHOT,MCIFRO,SWABSO,GALTTO-3,MIJHAS,SCHHOT-7
0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.1.1,0.666,0,0.0,0,1.0,0,0,0,0.0,0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,9.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.9990000000000001,0,0,0,0,0.248,0.0,0,0,0.0,0.0,0,0.0,1.0,2.0,2.0,7.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0.0,2.0,3.0,1.0,0.9990000000000001,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0,4.001,0.0,2.0,0.0,0.0,0,0.0,0.0,0,0.0
1.1.2,0.333,0,0.0,0,0.0,0,0,0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,3.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.1.3,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.5,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.083,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.1.4,0.0,0,0.0,0,1.0,0,0,0,0.0,0,0.0,1.0,1.001,0,1.001,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,21.503999999999994,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.9990000000000001,2.0,0.0,9.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,3.0,0.0,0.531,0,0,1.001,0,0.0,0.0,17.002999999999997,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.1.5,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,5.999999999999999,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,0.0,0,0.0,0.0,0.9999999999999999,0.0,0.3640000000000001,0,0,0.0,0,0.0,0.9999999999999999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.28,0,0.0,0.0,0,0.0
1.1.6,0.031,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.9990000000000001,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.9989999999999999,0.0,0.028,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.9989999999999999,0.0,0.0,0.0,0.39,0,0.0,0.0,0,0.0
1.1.7,1.9690000000000003,0,0.0,0,3.0,0,0,0,0.0,0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,1.0000000000000002,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,7.0009999999999994,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0
1.2.1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.999,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.2.2,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2.988000000000001,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
